status_id,status_type,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
1,video,529,512,262,432,92,3,1,1,0
ordinary2,photo,150,0,0,150,0,0,0,0,0
ordinary3,video,227,236,57,204,21,1,1,0,0
ordinary4,photo,111,0,0,111,0,0,0,0,0
ordinary5,photo,213,0,0,204,9,0,0,0,0
ordinary6,photo,217,6,0,211,5,1,0,0,0
ordinary7,video,503,614,72,418,70,10,2,0,3
ordinary8,video,295,453,53,260,32,1,1,0,1
ordinary9,photo,203,1,0,198,5,0,0,0,0
ordinary10,photo,170,9,1,167,3,0,0,0,0
ordinary11,photo,210,2,3,202,7,1,0,0,0
ordinary12,photo,222,4,0,213,5,4,0,0,0
ordinary13,photo,313,4,2,305,6,2,0,0,0
ordinary14,photo,209,4,0,200,8,1,0,0,0
ordinary15,photo,346,11,0,335,10,1,0,0,0
ordinary16,video,332,100,30,303,23,1,5,0,0
ordinary17,video,135,256,79,117,18,0,0,0,0
ordinary18,video,150,173,47,132,16,1,0,1,0
ordinary19,video,221,166,36,192,28,0,1,0,0
ordinary20,photo,152,2,0,149,3,0,0,0,0
ordinary21,photo,234,15,1,221,12,1,0,0,0
ordinary22,photo,227,7,1,217,7,2,1,0,0
ordinary23,photo,98,0,0,96,0,2,0,0,0
ordinary24,video,18,0,0,18,0,0,0,0,0
ordinary25,photo,102,0,0,100,0,2,0,0,0
ordinary26,video,37,0,1,37,0,0,0,0,0
ordinary27,video,75,36,14,70,5,0,0,0,0
ordinary28,video,90,78,9,85,5,0,0,0,0
ordinary29,photo,145,9,0,138,7,0,0,0,0
ordinary30,video,253,300,31,229,22,1,1,0,0
ordinary31,photo,85,0,0,81,2,2,0,0,0
ordinary32,video,45,14,0,40,5,0,0,0,0
ordinary33,photo,92,0,0,85,4,2,1,0,0
ordinary34,photo,125,1,0,116,8,1,0,0,0
ordinary35,photo,119,4,0,116,3,0,0,0,0
ordinary36,photo,293,8,0,281,11,1,0,0,0
ordinary37,video,128,137,26,110,16,2,0,0,0
ordinary38,photo,84,15,13,78,5,1,0,0,0
ordinary39,photo,66,11,6,61,4,1,0,0,0
ordinary40,video,171,292,28,150,19,1,1,0,0
ordinary41,video,90,72,23,79,10,1,0,0,0
ordinary42,video,139,39,9,121,16,1,1,0,0
ordinary43,video,236,181,21,201,33,0,1,0,1
ordinary44,video,225,210,34,193,30,0,2,0,0
